,poisonous,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-color,ring-number,ring-type,spore-print-color,population,habitat
41,0,x,y,y,t,l,f,c,b,n,e,others,s,others,w,w,w,o,p,k,y,p
42,0,x,others,n,f,n,f,c,n,g,e,e,s,s,w,w,w,o,p,k,y,u
43,1,x,y,w,t,others,f,c,n,p,e,e,s,s,w,w,w,o,p,n,v,g
44,0,x,s,y,t,a,f,c,b,w,e,others,s,s,w,w,w,o,p,k,n,others
45,0,x,y,w,t,a,f,c,b,n,e,others,s,s,w,w,w,o,p,n,n,g
46,0,x,y,y,t,l,f,c,b,others,e,others,s,s,w,w,w,o,p,k,s,others
47,0,x,s,w,t,l,f,c,b,w,e,others,s,s,w,w,w,o,p,n,n,others
48,0,x,y,y,t,l,f,c,b,n,e,others,s,others,w,w,w,o,p,n,s,p
49,0,f,y,y,t,l,f,c,b,w,e,others,s,others,w,w,w,o,p,k,s,p
50,0,x,y,n,t,a,f,c,b,w,e,others,s,others,w,w,w,o,p,k,s,g
51,0,x,s,w,t,l,f,c,b,others,e,others,s,s,w,w,w,o,p,k,s,g
52,0,others,s,w,t,l,f,c,b,others,e,others,s,s,w,w,w,o,p,n,n,others
53,1,x,y,n,t,others,f,c,n,others,e,e,s,s,w,w,w,o,p,n,v,u
54,1,x,s,w,t,others,f,c,n,others,e,e,s,s,w,w,w,o,p,k,v,u
55,0,others,y,y,t,a,f,c,b,w,e,others,s,s,w,w,w,o,p,k,s,others
56,0,f,others,g,f,n,f,w,b,n,t,e,s,s,w,w,w,o,e,n,a,g
57,0,others,s,w,t,a,f,c,b,w,e,others,s,s,w,w,w,o,p,n,n,g
58,0,x,s,y,t,l,f,c,b,others,e,others,s,s,w,w,w,o,p,k,n,g
59,0,x,y,n,t,a,f,c,b,p,e,others,s,others,w,w,w,o,p,k,y,p
60,0,others,others,g,f,n,f,c,n,others,e,e,s,s,w,w,w,o,p,n,v,u
61,0,others,y,y,t,a,f,c,b,others,e,others,s,s,w,w,w,o,p,n,s,others
62,0,others,s,y,t,l,f,c,b,g,e,others,s,s,w,w,w,o,p,n,s,others
63,0,others,y,y,t,l,f,c,b,g,e,others,s,s,w,w,w,o,p,n,n,others
64,0,others,y,w,t,l,f,c,b,n,e,others,s,s,w,w,w,o,p,n,s,g
65,0,f,s,n,f,n,f,w,b,others,t,e,s,s,w,w,w,o,e,k,a,g
66,0,x,s,w,t,l,f,c,b,n,e,others,s,s,w,w,w,o,p,k,s,g
67,0,f,y,y,t,a,f,c,b,w,e,others,s,others,w,w,w,o,p,n,s,g
68,0,x,y,y,t,a,f,c,b,w,e,others,s,s,w,w,w,o,p,k,n,g
69,0,x,others,g,f,n,f,c,n,p,e,e,s,s,w,w,w,o,p,n,v,u
70,0,f,others,y,t,l,f,w,n,p,t,b,s,s,w,w,w,o,p,n,v,d
71,0,others,y,w,t,l,f,c,b,g,e,others,s,s,w,w,w,o,p,n,s,others
72,0,f,others,y,t,l,f,w,n,w,t,b,s,s,w,w,w,o,p,n,v,d
73,0,x,y,n,t,a,f,c,b,p,e,others,s,others,w,w,w,o,p,k,s,p
74,0,others,s,y,t,a,f,c,b,others,e,others,s,s,w,w,w,o,p,k,s,g
75,0,f,s,y,t,l,f,w,n,p,t,b,s,s,w,w,w,o,p,n,v,d
76,0,x,s,w,t,l,f,w,n,n,t,b,s,s,w,w,w,o,p,others,v,d
77,0,f,y,n,t,l,f,c,b,p,e,others,s,others,w,w,w,o,p,n,y,p
78,1,x,y,n,t,others,f,c,n,w,e,e,s,s,w,w,w,o,p,n,v,u
79,0,f,y,n,t,a,f,c,b,n,e,others,s,others,w,w,w,o,p,n,y,g
80,0,x,s,n,f,n,f,w,b,others,t,e,others,s,w,w,w,o,e,n,s,g
81,1,x,y,w,t,others,f,c,n,w,e,e,s,s,w,w,w,o,p,k,s,g
82,0,f,others,g,f,n,f,c,n,n,e,e,s,s,w,w,w,o,p,n,y,u
83,0,x,others,g,f,n,f,w,b,n,t,e,s,s,w,w,w,o,e,n,s,g
84,0,x,y,y,t,l,f,c,b,w,e,others,s,others,w,w,w,o,p,k,s,g
85,0,x,s,n,f,n,f,w,b,others,t,e,s,s,w,w,w,o,e,k,s,g
86,0,others,s,w,t,a,f,c,b,w,e,others,s,s,w,w,w,o,p,k,s,g
87,0,x,s,w,t,l,f,c,b,n,e,others,s,s,w,w,w,o,p,n,s,g
88,0,f,y,n,t,l,f,c,b,w,e,others,s,others,w,w,w,o,p,k,y,g
89,0,others,others,n,f,n,f,c,n,n,e,e,s,s,w,w,w,o,p,n,v,u
90,0,x,others,n,f,n,f,c,n,n,e,e,s,s,w,w,w,o,p,n,y,u
91,0,others,s,w,t,l,f,c,b,others,e,others,s,s,w,w,w,o,p,k,s,g
92,0,x,y,y,t,a,f,c,b,g,e,others,s,s,w,w,w,o,p,k,s,g
93,0,x,y,y,t,l,f,c,b,g,e,others,s,s,w,w,w,o,p,k,n,others
94,0,x,s,n,f,n,f,w,b,n,t,e,s,s,w,w,w,o,e,n,a,g
95,0,x,s,w,t,a,f,c,b,g,e,others,s,s,w,w,w,o,p,n,s,g
96,0,f,y,n,t,l,f,c,b,p,e,others,s,others,w,w,w,o,p,n,s,g
97,0,x,s,y,t,a,f,c,b,n,e,others,s,s,w,w,w,o,p,k,n,g
98,0,others,s,w,t,a,f,c,b,g,e,others,s,s,w,w,w,o,p,n,s,g
99,0,x,y,w,t,a,f,c,b,g,e,others,s,s,w,w,w,o,p,k,s,g
100,0,x,others,n,f,n,f,w,b,p,t,e,others,s,w,w,w,o,e,k,s,g
101,0,others,s,y,t,l,f,c,b,n,e,others,s,s,w,w,w,o,p,k,n,g
102,0,f,y,y,t,l,f,c,b,w,e,others,s,others,w,w,w,o,p,n,s,g
103,0,x,y,y,t,a,f,c,b,n,e,others,s,others,w,w,w,o,p,k,y,p
104,0,others,y,w,t,l,f,c,b,g,e,others,s,s,w,w,w,o,p,n,n,g
105,0,x,y,y,t,a,f,c,b,n,e,others,s,s,w,w,w,o,p,k,n,others
106,0,x,y,y,t,a,f,c,b,w,e,others,s,others,w,w,w,o,p,n,y,g
107,0,others,y,w,t,l,f,c,b,n,e,others,s,s,w,w,w,o,p,k,s,others
108,0,others,y,w,t,a,f,c,b,g,e,others,s,s,w,w,w,o,p,n,s,others
109,0,x,s,y,t,a,f,c,b,others,e,others,s,s,w,w,w,o,p,k,n,others
110,0,x,s,y,t,l,f,c,b,w,e,others,s,s,w,w,w,o,p,k,n,g
111,0,others,others,g,f,n,f,c,n,g,e,e,s,s,w,w,w,o,p,k,y,u
112,0,x,others,w,t,a,f,w,n,w,t,b,s,s,w,w,w,o,p,others,v,d
113,0,x,s,y,t,a,f,c,b,n,e,others,s,s,w,w,w,o,p,k,n,others
114,1,x,y,w,t,others,f,c,n,n,e,e,s,s,w,w,w,o,p,n,v,u
115,0,x,y,y,t,l,f,c,b,p,e,others,s,others,w,w,w,o,p,n,s,g
116,0,others,others,g,f,n,f,c,n,p,e,e,s,s,w,w,w,o,p,n,y,u
117,0,x,y,y,t,l,f,c,b,w,e,others,s,others,w,w,w,o,p,k,y,g
118,0,x,s,y,t,l,f,w,n,p,t,b,s,s,w,w,w,o,p,others,v,d
119,0,others,others,n,f,n,f,c,n,others,e,e,s,s,w,w,w,o,p,n,y,u
120,1,x,s,w,t,others,f,c,n,others,e,e,s,s,w,w,w,o,p,k,v,g
121,0,x,y,w,t,a,f,c,b,g,e,others,s,s,w,w,w,o,p,n,n,others
122,1,f,y,n,t,others,f,c,n,p,e,e,s,s,w,w,w,o,p,k,v,g
123,0,f,s,g,f,n,f,w,b,others,t,e,s,s,w,w,w,o,e,n,a,g
124,0,x,s,y,t,l,f,c,b,g,e,others,s,s,w,w,w,o,p,n,s,others
125,0,x,s,w,f,n,f,w,b,n,t,e,s,others,w,w,w,o,e,k,s,g
126,0,others,s,y,t,a,f,c,b,w,e,others,s,s,w,w,w,o,p,n,n,g
127,0,f,others,g,f,n,f,w,b,h,t,e,s,s,w,w,w,o,e,n,a,g
128,0,x,s,w,t,l,f,c,b,n,e,others,s,s,w,w,w,o,p,k,n,g
129,0,others,s,w,t,l,f,c,b,n,e,others,s,s,w,w,w,o,p,n,s,others
130,0,others,s,w,t,l,f,c,b,w,e,others,s,s,w,w,w,o,p,n,s,g
131,0,others,y,w,t,l,f,c,b,w,e,others,s,s,w,w,w,o,p,n,s,others
132,0,f,s,w,t,l,f,w,n,w,t,b,s,s,w,w,w,o,p,others,v,d
133,0,x,y,y,t,l,f,c,b,g,e,others,s,s,w,w,w,o,p,k,s,others
134,0,f,s,w,t,a,f,w,n,p,t,b,s,s,w,w,w,o,p,n,v,d
135,1,x,y,w,t,others,f,c,n,w,e,e,s,s,w,w,w,o,p,n,v,u
136,0,f,others,w,t,l,f,w,n,w,t,b,s,s,w,w,w,o,p,n,v,d
137,0,x,y,y,t,a,f,c,b,n,e,others,s,s,w,w,w,o,p,n,s,g
138,1,x,s,n,t,others,f,c,n,p,e,e,s,s,w,w,w,o,p,n,v,g
139,0,others,s,y,t,l,f,c,b,w,e,others,s,s,w,w,w,o,p,n,n,g
140,0,x,y,n,t,a,f,c,b,w,e,others,s,others,w,w,w,o,p,k,y,p
141,0,others,y,y,t,l,f,c,b,g,e,others,s,s,w,w,w,o,p,k,n,others
142,0,others,others,n,f,n,f,c,n,others,e,e,s,s,w,w,w,o,p,n,v,u
143,0,f,y,n,t,a,f,c,b,w,e,others,s,others,w,w,w,o,p,k,y,p
144,0,x,y,y,t,a,f,c,b,others,e,others,s,s,w,w,w,o,p,k,n,g
145,0,x,others,g,f,n,f,w,b,others,t,e,others,others,w,w,w,o,e,k,s,g
146,0,f,others,w,f,n,f,w,b,others,t,e,s,others,w,w,w,o,e,n,a,g
147,0,x,y,y,t,l,f,c,b,w,e,others,s,s,w,w,w,o,p,n,n,others
148,0,others,s,y,t,l,f,c,b,others,e,others,s,s,w,w,w,o,p,k,n,g
149,0,others,y,w,t,a,f,c,b,g,e,others,s,s,w,w,w,o,p,k,n,others
150,0,x,y,w,t,a,f,c,b,w,e,others,s,s,w,w,w,o,p,n,s,g
151,0,x,s,n,f,n,f,w,b,p,t,e,others,s,w,w,w,o,e,n,a,g
152,0,x,y,w,t,l,f,c,b,g,e,others,s,s,w,w,w,o,p,n,s,g
153,0,others,others,n,f,n,f,c,n,others,e,e,s,s,w,w,w,o,p,k,v,u
154,0,x,s,w,t,a,f,w,n,w,t,b,s,s,w,w,w,o,p,others,v,d
155,0,x,y,n,t,l,f,c,b,w,e,others,s,others,w,w,w,o,p,k,s,g
156,0,others,y,y,t,a,f,c,b,others,e,others,s,s,w,w,w,o,p,n,n,g
157,0,x,y,w,t,a,f,c,b,others,e,others,s,s,w,w,w,o,p,n,n,g
158,0,others,y,w,t,a,f,c,b,n,e,others,s,s,w,w,w,o,p,k,s,others
159,0,others,s,y,t,a,f,c,b,g,e,others,s,s,w,w,w,o,p,k,s,g
160,0,others,s,y,t,l,f,c,b,g,e,others,s,s,w,w,w,o,p,k,s,others
161,0,others,y,y,t,a,f,c,b,n,e,others,s,s,w,w,w,o,p,k,n,g
162,0,x,others,n,f,n,f,c,n,others,e,e,s,s,w,w,w,o,p,n,y,u
163,0,f,y,n,t,l,f,c,b,n,e,others,s,others,w,w,w,o,p,n,y,g
164,0,x,y,w,t,a,f,c,b,others,e,others,s,s,w,w,w,o,p,n,s,g
165,0,f,y,y,t,l,f,c,b,w,e,others,s,others,w,w,w,o,p,n,y,p
166,0,others,s,w,t,a,f,c,b,w,e,others,s,s,w,w,w,o,p,n,s,g
167,0,others,s,w,t,a,f,c,b,w,e,others,s,s,w,w,w,o,p,k,s,others
168,0,x,y,n,t,l,f,c,b,w,e,others,s,others,w,w,w,o,p,k,y,g
169,0,others,s,w,t,a,f,c,b,others,e,others,s,s,w,w,w,o,p,k,s,g
170,0,x,others,g,f,n,f,c,n,g,e,e,s,s,w,w,w,o,p,n,y,u
171,0,others,s,y,t,l,f,c,b,others,e,others,s,s,w,w,w,o,p,n,s,g
172,0,x,others,y,t,l,f,w,n,n,t,b,s,s,w,w,w,o,p,others,v,d
173,0,others,y,y,t,a,f,c,b,w,e,others,s,s,w,w,w,o,p,k,s,g
174,0,f,y,y,t,l,f,c,b,p,e,others,s,others,w,w,w,o,p,n,s,g
175,0,others,y,w,t,l,f,c,b,w,e,others,s,s,w,w,w,o,p,k,n,others
176,0,others,y,w,t,a,f,c,b,others,e,others,s,s,w,w,w,o,p,k,n,others
177,0,others,y,y,t,a,f,c,b,g,e,others,s,s,w,w,w,o,p,n,s,g
178,0,x,y,y,t,l,f,c,b,g,e,others,s,s,w,w,w,o,p,n,n,others
179,0,others,s,y,t,l,f,c,b,g,e,others,s,s,w,w,w,o,p,n,n,g
180,1,x,y,w,t,others,f,c,n,p,e,e,s,s,w,w,w,o,p,n,v,u
181,0,others,others,n,f,n,f,c,n,g,e,e,s,s,w,w,w,o,p,n,y,u
182,0,f,others,n,f,n,f,c,n,g,e,e,s,s,w,w,w,o,p,k,v,u
183,0,x,s,y,t,a,f,c,b,g,e,others,s,s,w,w,w,o,p,n,s,others
184,0,f,y,n,t,a,f,c,b,p,e,others,s,others,w,w,w,o,p,k,s,p
185,1,x,y,w,t,others,f,c,n,others,e,e,s,s,w,w,w,o,p,k,s,g
186,0,others,s,w,t,l,f,c,b,g,e,others,s,s,w,w,w,o,p,n,s,others
187,0,f,others,g,f,n,f,c,n,p,e,e,s,s,w,w,w,o,p,k,v,u
188,0,others,y,y,t,l,f,c,b,g,e,others,s,s,w,w,w,o,p,n,n,g
189,0,x,y,n,t,a,f,c,b,w,e,others,s,others,w,w,w,o,p,n,y,p
190,0,x,others,w,f,n,f,w,b,p,t,e,s,others,w,w,w,o,e,k,s,g
191,0,x,s,w,t,l,f,w,n,w,t,b,s,s,w,w,w,o,p,n,v,d
192,0,others,s,w,t,l,f,c,b,w,e,others,s,s,w,w,w,o,p,n,s,others
193,0,f,s,y,t,a,f,w,n,w,t,b,s,s,w,w,w,o,p,n,v,d
194,0,x,s,y,t,a,f,c,b,others,e,others,s,s,w,w,w,o,p,n,n,others
195,0,f,others,g,f,n,f,c,n,g,e,e,s,s,w,w,w,o,p,n,y,u
196,0,others,s,y,t,a,f,c,b,n,e,others,s,s,w,w,w,o,p,k,s,g
197,0,x,s,w,t,l,f,c,b,g,e,others,s,s,w,w,w,o,p,n,n,others
198,0,x,y,w,t,l,f,c,b,n,e,others,s,s,w,w,w,o,p,n,s,others
199,0,f,s,w,t,a,f,w,n,n,t,b,s,s,w,w,w,o,p,n,v,d
200,0,x,y,y,t,l,f,c,b,w,e,others,s,s,w,w,w,o,p,n,s,g
201,0,others,s,w,t,l,f,c,b,w,e,others,s,s,w,w,w,o,p,k,s,g
202,0,x,s,w,t,a,f,c,b,g,e,others,s,s,w,w,w,o,p,k,n,g
203,0,x,others,w,f,n,f,w,b,h,t,e,others,s,w,w,w,o,e,k,s,g
204,0,f,y,n,t,l,f,c,b,n,e,others,s,others,w,w,w,o,p,k,y,p
205,1,x,s,w,t,others,f,c,n,others,e,e,s,s,w,w,w,o,p,n,v,u
206,0,others,s,w,t,a,f,c,b,n,e,others,s,s,w,w,w,o,p,n,n,g
207,0,others,s,w,t,a,f,c,b,others,e,others,s,s,w,w,w,o,p,k,s,others
208,0,others,y,w,t,l,f,c,b,n,e,others,s,s,w,w,w,o,p,n,n,g
209,0,others,y,w,t,a,f,c,b,w,e,others,s,s,w,w,w,o,p,k,n,g
210,0,x,s,y,t,a,f,c,b,w,e,others,s,s,w,w,w,o,p,k,s,g
211,0,others,s,w,t,l,f,c,b,w,e,others,s,s,w,w,w,o,p,k,n,others
212,0,x,others,y,t,a,f,w,n,n,t,b,s,s,w,w,w,o,p,n,v,d
213,0,x,others,g,f,n,f,c,n,n,e,e,s,s,w,w,w,o,p,n,y,u
214,0,f,y,y,t,a,f,c,b,n,e,others,s,others,w,w,w,o,p,n,s,g
215,0,others,s,w,t,l,f,c,b,n,e,others,s,s,w,w,w,o,p,k,n,others
216,0,x,s,y,t,a,f,c,b,g,e,others,s,s,w,w,w,o,p,k,s,g
217,0,x,y,y,t,a,f,c,b,others,e,others,s,s,w,w,w,o,p,k,s,g
218,0,x,y,w,t,l,f,c,b,w,e,others,s,s,w,w,w,o,p,n,s,g
219,0,others,others,g,f,n,f,c,n,p,e,e,s,s,w,w,w,o,p,n,v,u
220,0,x,s,w,t,a,f,c,b,n,e,others,s,s,w,w,w,o,p,n,n,others
221,1,x,s,w,t,others,f,c,n,others,e,e,s,s,w,w,w,o,p,k,s,g
222,0,x,y,y,t,a,f,c,b,n,e,others,s,others,w,w,w,o,p,n,s,g
223,0,f,others,w,t,a,f,w,n,p,t,b,s,s,w,w,w,o,p,n,v,d
224,0,x,y,w,t,l,f,c,b,g,e,others,s,s,w,w,w,o,p,k,n,others
225,0,others,y,w,t,l,f,c,b,n,e,others,s,s,w,w,w,o,p,k,s,g
226,0,x,s,w,t,a,f,c,b,g,e,others,s,s,w,w,w,o,p,n,n,g
227,0,x,s,y,t,a,f,c,b,g,e,others,s,s,w,w,w,o,p,n,s,g
228,1,x,y,n,t,others,f,c,n,p,e,e,s,s,w,w,w,o,p,k,v,u
229,0,others,s,y,t,a,f,c,b,n,e,others,s,s,w,w,w,o,p,n,n,g
230,0,x,others,g,f,n,f,c,n,n,e,e,s,s,w,w,w,o,p,k,y,u
231,1,x,y,w,t,others,f,c,n,others,e,e,s,s,w,w,w,o,p,k,s,u
232,0,x,y,y,t,l,f,c,b,n,e,others,s,others,w,w,w,o,p,n,y,p
233,0,f,others,n,f,n,f,c,n,others,e,e,s,s,w,w,w,o,p,k,v,u
234,0,others,s,w,t,l,f,c,b,others,e,others,s,s,w,w,w,o,p,n,n,g
235,0,x,others,w,t,l,f,w,n,w,t,b,s,s,w,w,w,o,p,n,v,d
236,0,x,y,w,t,l,f,c,b,w,e,others,s,s,w,w,w,o,p,k,s,g
237,0,others,y,y,t,l,f,c,b,n,e,others,s,s,w,w,w,o,p,n,s,g
238,0,x,y,y,t,l,f,c,b,n,e,others,s,others,w,w,w,o,p,k,s,g
239,0,f,y,y,t,a,f,c,b,p,e,others,s,others,w,w,w,o,p,k,s,p
240,0,f,y,y,t,a,f,c,b,w,e,others,s,others,w,w,w,o,p,k,y,p
241,0,x,s,w,t,l,f,c,b,w,e,others,s,s,w,w,w,o,p,k,s,g
242,0,x,s,w,t,a,f,c,b,w,e,others,s,s,w,w,w,o,p,n,n,others
243,1,x,s,w,t,others,f,c,n,n,e,e,s,s,w,w,w,o,p,k,v,u
244,0,f,others,w,t,a,f,w,n,p,t,b,s,s,w,w,w,o,p,others,v,d
245,0,x,s,w,t,l,f,c,b,w,e,others,s,s,w,w,w,o,p,n,s,g
246,0,x,s,w,t,l,f,w,n,p,t,b,s,s,w,w,w,o,p,others,v,d
247,0,x,y,w,t,a,f,c,b,n,e,others,s,s,w,w,w,o,p,k,s,others
248,0,f,y,y,t,l,f,c,b,w,e,others,s,others,w,w,w,o,p,k,y,p
249,0,x,s,n,f,n,f,w,b,p,t,e,others,s,w,w,w,o,e,k,s,g
250,0,f,y,y,t,a,f,c,b,w,e,others,s,others,w,w,w,o,p,n,y,g
251,1,x,s,n,t,others,f,c,n,p,e,e,s,s,w,w,w,o,p,n,s,g
252,0,others,others,n,f,n,f,c,n,g,e,e,s,s,w,w,w,o,p,n,v,u
253,0,others,y,y,t,l,f,c,b,w,e,others,s,s,w,w,w,o,p,n,s,others
254,0,others,s,w,t,l,f,c,b,n,e,others,s,s,w,w,w,o,p,n,s,g
255,0,others,y,w,t,l,f,c,b,others,e,others,s,s,w,w,w,o,p,n,n,others
256,0,f,others,n,f,n,f,c,n,others,e,e,s,s,w,w,w,o,p,n,v,u
257,0,x,s,w,t,a,f,c,b,w,e,others,s,s,w,w,w,o,p,k,n,others
258,0,others,y,w,t,l,f,c,b,g,e,others,s,s,w,w,w,o,p,k,n,g
259,0,others,y,w,t,a,f,c,b,g,e,others,s,s,w,w,w,o,p,n,n,others
260,0,f,y,n,t,l,f,c,b,w,e,others,s,others,w,w,w,o,p,n,s,g
261,1,x,y,w,t,others,f,c,n,others,e,e,s,s,w,w,w,o,p,k,v,g
262,0,x,s,w,t,a,f,c,b,n,e,others,s,s,w,w,w,o,p,n,n,g
263,0,x,y,w,t,a,f,c,b,n,e,others,s,s,w,w,w,o,p,n,s,others
264,0,f,others,w,t,l,f,w,n,w,t,b,s,s,w,w,w,o,p,others,v,d
265,0,f,others,g,f,n,f,c,n,g,e,e,s,s,w,w,w,o,p,k,v,u
266,0,f,s,g,f,n,f,w,b,p,t,e,s,s,w,w,w,o,e,k,a,g
267,0,x,y,y,t,a,f,c,b,g,e,others,s,s,w,w,w,o,p,n,s,others
268,0,others,s,w,t,a,f,c,b,others,e,others,s,s,w,w,w,o,p,n,s,others
269,1,f,y,n,t,others,f,c,n,w,e,e,s,s,w,w,w,o,p,k,s,u
270,0,x,s,w,t,l,f,c,b,n,e,others,s,s,w,w,w,o,p,k,n,others
271,1,f,s,n,t,others,f,c,n,w,e,e,s,s,w,w,w,o,p,k,v,u
272,0,x,y,w,t,l,f,c,b,others,e,others,s,s,w,w,w,o,p,n,s,g
273,0,x,y,y,t,a,f,c,b,others,e,others,s,s,w,w,w,o,p,n,n,others
274,0,f,y,y,t,a,f,c,b,n,e,others,s,others,w,w,w,o,p,n,s,p
275,0,x,y,n,t,a,f,c,b,w,e,others,s,others,w,w,w,o,p,n,s,p
276,0,f,y,n,t,a,f,c,b,w,e,others,s,others,w,w,w,o,p,n,y,g
277,0,x,y,w,t,a,f,c,b,w,e,others,s,s,w,w,w,o,p,n,n,others
278,0,f,others,n,f,n,f,w,b,h,t,e,s,s,w,w,w,o,e,k,s,g
279,0,x,s,y,t,l,f,c,b,others,e,others,s,s,w,w,w,o,p,n,n,others
280,1,x,y,w,t,others,f,c,n,w,e,e,s,s,w,w,w,o,p,n,s,g
281,0,others,y,y,t,a,f,c,b,n,e,others,s,s,w,w,w,o,p,n,n,others
282,0,others,others,n,f,n,f,c,n,p,e,e,s,s,w,w,w,o,p,n,v,u
283,0,x,s,y,t,l,f,c,b,others,e,others,s,s,w,w,w,o,p,k,s,others
284,0,others,y,w,t,l,f,c,b,n,e,others,s,s,w,w,w,o,p,k,n,others
285,0,f,y,n,t,a,f,c,b,n,e,others,s,others,w,w,w,o,p,k,s,g
286,0,others,y,y,t,a,f,c,b,g,e,others,s,s,w,w,w,o,p,k,s,others
287,0,others,y,w,t,a,f,c,b,g,e,others,s,s,w,w,w,o,p,k,s,g
288,0,x,y,n,t,l,f,c,b,n,e,others,s,others,w,w,w,o,p,n,y,p
289,0,f,others,g,f,n,f,c,n,p,e,e,s,s,w,w,w,o,p,n,y,u
290,0,x,others,g,f,n,f,c,n,g,e,e,s,s,w,w,w,o,p,k,y,u
291,0,others,y,y,t,l,f,c,b,n,e,others,s,s,w,w,w,o,p,k,s,g
292,0,x,s,y,t,l,f,c,b,n,e,others,s,s,w,w,w,o,p,k,s,others
293,0,others,y,w,t,l,f,c,b,others,e,others,s,s,w,w,w,o,p,n,s,g
294,0,x,s,w,t,a,f,c,b,g,e,others,s,s,w,w,w,o,p,k,s,others
295,0,others,s,y,t,a,f,c,b,g,e,others,s,s,w,w,w,o,p,n,n,others
296,0,x,s,y,t,a,f,c,b,others,e,others,s,s,w,w,w,o,p,k,s,others
297,0,x,others,g,f,n,f,w,b,p,t,e,others,others,w,w,w,o,e,k,s,g
